order_item_id,restaurant_id,name,price,quantity,image,description
d78a86c4-a421-4e84-bfb7-0897e5a83c76,ee4ef0d3-7ee3-4cdc-9adb-cd36a8971c8a,Greek Salad,4.41,75,,"Feta, olives, cucumber, and oregano vinaigrette"
3d89d860-e2d8-4bbc-946e-beb48eea7d53,ee4ef0d3-7ee3-4cdc-9adb-cd36a8971c8a,Penne Arrabiata,11.62,193,,Penne pasta with spicy tomato sauce
62bcf970-bc56-4ed5-a765-2e6a2653a56c,ee4ef0d3-7ee3-4cdc-9adb-cd36a8971c8a,Caesar Salad,28.13,233,,"Romaine, parmesan, croutons, and Caesar dressing"
77b99001-41a0-430f-ba19-128d15fbf6d7,ee4ef0d3-7ee3-4cdc-9adb-cd36a8971c8a,Veggie Burger,24.99,13,,Plant-based patty with fresh vegetables
63be631d-5ec6-43f9-b014-72df6f51391c,ee4ef0d3-7ee3-4cdc-9adb-cd36a8971c8a,Pepperoni Pizza,6.91,64,,Spicy pepperoni with mozzarella cheese
78235230-df95-4178-bdf3-8f3268f9058c,ee4ef0d3-7ee3-4cdc-9adb-cd36a8971c8a,Pepperoni Pizza,23.93,188,,Spicy pepperoni with mozzarella cheese
c17bc316-6d2c-4eea-85d8-1cccf54ee4cf,ee4ef0d3-7ee3-4cdc-9adb-cd36a8971c8a,French Fries,11.52,155,,Golden fries with sea salt
964d04c5-915f-41c8-ae3c-2b003e3bd0d5,ee4ef0d3-7ee3-4cdc-9adb-cd36a8971c8a,Pad Thai,32.96,6,,Rice noodles with peanuts and tamarind
c17affa3-e477-40d2-899f-ea08dfd158a4,ee4ef0d3-7ee3-4cdc-9adb-cd36a8971c8a,Sushi Combo,28.91,92,,Assorted sushi rolls with soy sauce
5cc8b728-fd7b-4602-83a3-274dff3b254e,ee4ef0d3-7ee3-4cdc-9adb-cd36a8971c8a,Pad Thai,9.16,250,,Rice noodles with peanuts and tamarind
7a7efa89-710f-4074-a9fb-9fcdb12add93,ee4ef0d3-7ee3-4cdc-9adb-cd36a8971c8a,Chicken Burrito,7.22,102,,Large burrito with chicken and beans
e81e8973-da98-4e7f-86c9-e71b6e23347e,77d52c1d-a430-4b33-a45d-4b7b91ec00d9,Ribeye Steak,34.35,159,,Grilled ribeye with herb butter
15471295-3b43-4f4a-be33-b503b5344b77,77d52c1d-a430-4b33-a45d-4b7b91ec00d9,Chicken Alfredo,32.88,191,,Pasta in rich alfredo sauce with chicken
2d1f38d7-561d-46d0-9e02-930d237436c8,80d1ee53-b28f-411b-ab9a-f6a59bd55d17,Greek Salad,38.92,101,,"Feta, olives, cucumber, and oregano vinaigrette"
4c21a4db-df23-436e-a03f-0a6505390a41,80d1ee53-b28f-411b-ab9a-f6a59bd55d17,Veggie Burger,23.59,217,,Plant-based patty with fresh vegetables
